start_station_name,value
W 21 St & 6 Ave,128823
West St & Chambers St,123045
Broadway & W 58 St,114040
6 Ave & W 33 St,106236
1 Ave & E 68 St,104685
Broadway & E 14 St,98656
Broadway & W 25 St,98237
University Pl & E 14 St,96941
Broadway & E 21 St,95533
W 31 St & 7 Ave,94035
E 33 St & 1 Ave,90839
Cleveland Pl & Spring St,90778
12 Ave & W 40 St,90237
6 Ave & W 34 St,89454
West St & Liberty St,87480
11 Ave & W 41 St,87437
Lafayette St & E 8 St,87325
Central Park S & 6 Ave,86777
E 40 St & Park Ave,85451
8 Ave & W 33 St,84864
